per,,,,,,,,臒l 0.5,臒l 1.0,臒l 1.5,臒l 2.0,臒l 2.5,臒l 3.0,臒l 3.5,臒l 4.0,臒l 4.5,,臒l 0.5,臒l 1.0,臒l 1.5,臒l 2.0,臒l 2.5,臒l 3.0,臒l 3.5,臒l 4.0,臒l 4.5,,臒l 0.5,臒l 1.0,臒l 1.5,臒l 2.0,臒l 2.5,臒l 3.0,臒l 3.5,臒l 4.0,臒l 4.5
120,,,,,,,,20.04847716,23.06602987,24.12673437,23.28779595,23.76663497,21.09882186,21.64859059,23.74526479,33.84557362,,0.479226345,0.481644471,0.220878042,0.625810929,0.477646633,0.224155245,0.47382232,0.262462726,1.744719587,,0.643229605,0.494221994,0.230391049,0.739234279,0.647606857,0.266402613,0.636673764,0.289968157,2.266561306
130,,,,,,,,20.15135778,23.13859633,24.27377867,23.81818375,23.80128492,21.27631676,23.27453355,23.28145335,26.68489884,,1.032263059,0.949724428,0.176346582,0.406146804,0.691297557,0.198951395,0.569061194,0.21209629,0.949940449,,1.130651916,0.951251402,0.223983381,0.483251401,0.754098911,0.208702481,0.699727547,0.239931698,2.111553193
140,,,,,,,,20.39906537,22.94573695,24.2917601,23.46013289,23.48164383,21.3986232,24.34237988,24.2738021,26.72547981,,0.629717165,0.840776368,0.073680745,0.273739046,0.588102948,0.216049088,0.541786263,0.089321018,0.908237289,,0.771148189,0.882478383,0.074921693,0.307682466,0.630459128,0.296568622,0.630042774,0.165433829,1.292208868
150,,,,,,,,20.45535821,22.51815587,24.48421653,23.61790989,23.81137164,22.03699343,23.99898016,25.40756796,28.83904824,,0.704141568,0.824941887,0.266796605,0.433959837,0.443190141,0.079191985,0.719875022,0.280113005,0.761336302,,0.745933728,0.843944169,0.310200539,0.458600885,0.613519869,0.084095222,0.929120056,0.39928533,1.716018515
160,,,,,,,,20.52904448,22.41222138,24.23347769,22.91553579,23.48926097,22.67767374,25.69575812,24.50181182,27.68015238,,0.621737746,0.927841445,0.264721114,0.556567808,0.561007998,0.082330914,0.550011157,0.212801569,0.986288835,,0.709854771,0.93611239,0.28146418,0.565926492,0.739058734,0.089563917,0.617150312,0.311610093,1.507342825
170,,,,,,,,20.9182996,22.2329847,23.7690676,23.69694289,23.06495351,22.60223682,24.7452512,25.35134939,27.35599363,,0.434358593,0.875276172,0.241225671,0.347922193,0.593332417,0.067456516,0.625330316,0.057486928,0.524077621,,0.487241443,0.927582472,0.253517509,0.35782636,0.702221752,0.092007338,0.808520432,0.11556828,0.982490029
180,,,,,,,,21.29055093,22.37480861,23.97482079,23.55743278,23.26720211,22.62348308,22.59960258,25.0904109,28.47574986,,0.603490599,0.46360127,0.373890527,0.401836845,0.744341013,0.115444372,0.626371617,0.233891392,0.949424682,,0.679007609,0.63406364,0.374172966,0.436638384,0.866802551,0.135260692,0.754055117,0.321252953,1.696463967
190,,,,,,,,21.87695676,23.08953883,24.20739852,23.51172486,23.57598549,23.26657397,23.71806195,25.10527966,28.68102809,,0.617888492,0.313981021,0.41306804,0.421979439,0.657518493,0.162147473,0.430703347,0.31277741,0.761762301,,0.698911268,0.370938219,0.437530886,0.428054277,0.815017644,0.164925012,0.555584269,0.36212311,1.412593529
200,,,,,,,,22.55858545,23.07566572,24.26262024,23.51283404,23.9989119,22.83336181,26.08270664,24.81382577,28.49744981,,0.556815337,0.411328811,0.32789615,0.404210439,0.678766793,0.174858468,0.647822002,0.054085886,1.116349366,,0.563379717,0.4698878,0.414074958,0.406040959,0.803965188,0.194724741,0.828184718,0.116884513,1.755248839
210,,,,,,,,23.14762987,22.71483719,24.05083727,23.43118337,23.70476117,23.5199736,25.50821239,24.75787365,27.89153425,,0.768320083,0.566898431,0.285298199,0.376835499,0.656618739,0.061248217,0.570804403,0.35422305,0.967625116,,0.786056595,0.59004424,0.302788704,0.39650606,0.812264451,0.085873347,0.674122749,0.405714733,1.595533575
220,,,,,,,,23.07958057,22.80480534,24.00680805,23.42247897,23.79474552,23.1070523,25.0514852,27.53748103,28.17522292,,0.686440522,0.463300493,0.30420925,0.478849028,0.518799589,0.179447305,0.422269362,0.236510825,1.123465628,,0.720179984,0.55552381,0.305960841,0.519479305,0.730893596,0.192192873,0.548836944,0.415759129,1.636690412
230,,,,,,,,23.37193838,23.17822615,23.78107672,23.27749319,24.03143146,22.92228874,25.67251906,25.86671296,28.67615943,,0.7508144,0.436744303,0.421540372,0.266830889,0.517176848,0.232216225,0.610218415,0.253045015,1.289743277,,0.805086131,0.453815705,0.423679765,0.327444694,0.702123942,0.235270345,0.745960527,0.372867574,2.131199516
240,,,,,,,,23.72498004,23.36334761,24.02173847,23.44080013,24.13210441,22.92069309,24.73074236,26.56704552,28.42621519,,0.698240989,0.438735553,0.298791294,0.407447832,0.48136491,0.094500441,0.563837696,0.27532017,0.912579859,,0.727597179,0.445992872,0.298884113,0.460932106,0.652689227,0.095862286,0.780675344,0.406315196,1.465093339
250,,,,,,,,23.74299638,23.06716169,24.4073798,23.550344,24.05784047,23.09830345,24.50547269,25.88801422,27.94859936,,0.801935485,0.31598873,0.318095356,0.306515335,0.422404344,0.178767834,0.455947891,0.438502379,0.935021947,,0.926349861,0.339741694,0.318362904,0.384941122,0.554301955,0.206622817,0.605952771,0.481449342,1.535651382
260,,,,,,,,24.01114004,23.07562819,24.53410477,23.46269513,23.88723742,23.05003251,26.14584632,30.52744553,26.44172931,,0.790589367,0.418045919,0.348384268,0.285882846,0.454234561,0.055263424,0.622222239,0.278274851,0.702394663,,0.810619732,0.418436136,0.350646851,0.352884234,0.591020346,0.06793362,0.792847072,0.416349714,1.439486487
270,,,,,,,,23.50915612,23.0963975,24.45218815,23.11452834,23.9661454,23.18192168,24.25838814,25.85429449,26.80536548,,0.733238024,0.618614338,0.34458791,0.456162952,0.531565982,0.057608328,0.56105472,0.253912082,0.703002704,,0.733562762,0.635570779,0.345678092,0.506873245,0.732898437,0.060255088,0.71755231,0.350494085,1.477236484
280,,,,,,,,23.31197442,23.11125786,24.59841579,23.44593797,24.2121467,23.23070971,24.30448658,25.51313887,26.44694294,,0.75210801,0.559146803,0.30185443,0.403854703,0.393891964,0.149601735,0.630617852,0.333136569,0.685298704,,0.778008914,0.55992214,0.325211666,0.460939903,0.528684156,0.182797986,0.833434993,0.471352856,1.554090685
290,,,,,,,,23.2681975,23.24302798,24.59681089,23.4977372,24.243728,23.08497132,24.89933417,26.20260052,28.64056802,,0.411943257,0.539141311,0.286776331,0.32628151,0.4196459,0.120934411,0.525347496,0.236886451,0.854084948,,0.485367724,0.541186711,0.322728477,0.333824055,0.542577075,0.129318312,0.721291015,0.345644299,1.336263277
300,,,,,,,,23.65026381,23.29953778,24.64252439,23.16745453,24.25782397,23.32007998,24.27569801,25.62232654,26.44523155,,0.677872843,0.562597591,0.284050944,0.400180153,0.448425009,0.115289787,0.563081319,0.18924059,0.628301771,,0.701112803,0.562686714,0.289325586,0.424817126,0.620846707,0.118758429,0.632974122,0.287958117,1.450982302
310,,,,,,,,23.43418603,23.38932032,24.71629545,23.43881578,24.78561245,23.48838684,24.302644,25.06937083,26.73925471,,0.690816028,0.545889414,0.251937262,0.251990584,0.426828342,0.102208767,0.49957944,0.230485826,0.785048333,,0.705802342,0.548319174,0.252051718,0.295488028,0.541807298,0.107038874,0.682080834,0.353752061,1.407604801
320,,,,,,,,23.06738893,23.36926666,24.79284783,23.33654075,25.00671738,23.31587209,23.89662604,25.4073824,27.43617687,,0.680386988,0.648723865,0.273834692,0.427845703,0.450710742,0.126726787,0.45230838,0.235544573,0.633134421,,0.692778509,0.654462505,0.274358067,0.429970109,0.543176789,0.12726142,0.580700849,0.391958697,1.228078109
330,,,,,,,,23.19689387,23.41032736,24.71199018,23.32944529,25.16028216,23.55928941,24.37571899,26.14976017,27.06804085,,0.620516792,0.556745527,0.265841772,0.413529907,0.391261437,0.124398576,0.48183901,0.207652272,0.710929063,,0.676627898,0.562017404,0.271138276,0.429426248,0.505797819,0.141469347,0.61857791,0.291031074,1.138704544
340,,,,,,,,23.08835968,23.25452574,24.73809428,23.35838889,25.39614145,23.38548579,24.18490808,25.08742414,26.9428232,,0.768857681,0.58040482,0.306666108,0.344870517,0.343990013,0.068748311,0.509433551,0.19598254,0.738152986,,0.788871919,0.581315155,0.326363245,0.366893644,0.451490304,0.079101384,0.65404796,0.293978332,1.189312269
350,,,,,,,,23.2421897,23.27717542,24.76536233,23.34944961,25.36241838,23.10606813,24.18627987,25.18275617,27.33276573,,0.729427816,0.646059306,0.327104119,0.383566272,0.387235012,0.072062459,0.450795259,0.34960925,0.723097153,,0.765801156,0.64886077,0.362397742,0.403553299,0.519806925,0.07324605,0.62078201,0.544662472,1.079366915
360,,,,,,,,23.56598945,22.94729222,24.4982632,23.22959153,25.27023238,23.09967191,24.33271788,25.08655745,27.62538784,,0.736953467,0.600039237,0.277493836,0.325549313,0.400709047,0.052087914,0.489210663,0.268996957,0.713133904,,0.769554439,0.603436485,0.299002719,0.341923678,0.484266704,0.060965108,0.644809991,0.435941475,1.000274486
370,,,,,,,,23.55742841,22.90066712,24.52799653,23.4764686,25.15882389,22.8812974,24.27768108,24.68115028,27.27528309,,0.7388047,0.419048221,0.320530346,0.299697974,0.375301444,0.128951527,0.572925398,0.362120453,0.36314559,,0.802901032,0.446331272,0.362315261,0.314165765,0.430086649,0.134477428,0.697489585,0.43518565,0.728151759
380,,,,,,,,23.5603977,22.83829195,24.5275648,23.52375722,25.07360823,22.94710997,24.26095518,24.72465841,27.11238056,,0.67403294,0.545416783,0.326105542,0.274551917,0.394809965,0.154514067,0.585858066,0.170640296,0.507342893,,0.710806221,0.556937639,0.367713077,0.2749583,0.468265432,0.160108843,0.749095843,0.347676024,1.00180994
390,,,,,,,,23.45876177,22.69782016,24.65730994,23.43296976,24.89043739,22.80739163,24.09504207,25.19604682,26.98331717,,0.696055697,0.466444765,0.228612602,0.357445895,0.357415183,0.043963267,0.45772736,0.309156076,0.387112955,,0.726893604,0.522849113,0.320703048,0.37353643,0.449552983,0.059546184,0.631062144,0.451557835,0.811699994
400,,,,,,,,23.37719487,22.83150169,24.72518441,23.38622521,24.96935031,22.88643706,24.46811176,24.87235063,26.9559313,,0.712919526,0.457750119,0.30241277,0.33388322,0.359662993,0.103733048,0.472390595,0.329957057,0.73355095,,0.758799212,0.521987017,0.366584494,0.349906283,0.495555931,0.137450169,0.595735647,0.4853623,1.050050936
410,,,,,,,,23.30237498,22.74684856,24.80285307,23.28932336,24.87795531,22.93055012,24.61696832,24.35521791,27.74815443,,0.627760365,0.527555779,0.185467925,0.302655195,0.408860626,0.125344733,0.504688895,0.237666874,0.689326735,,0.693513045,0.596537559,0.240406859,0.333476361,0.505582061,0.136928173,0.65752289,0.392162732,0.972587456
420,,,,,,,,23.13308604,22.7405889,24.81435225,23.39659328,24.82075324,23.25971649,24.43549843,24.38079396,26.98701921,,0.596277676,0.523993806,0.30357428,0.313536527,0.357074027,0.139390486,0.507627608,0.240174394,0.553486829,,0.734140257,0.554316151,0.356993666,0.364340492,0.463650284,0.14769139,0.662425673,0.375256047,0.892087187
430,,,,,,,,23.13536305,22.7520515,24.87302841,23.65823682,24.9241704,23.4298266,24.51965002,24.28816466,26.83086435,,0.574832386,0.458977943,0.271601142,0.274768315,0.418235542,0.144172316,0.46988081,0.2541865,0.534490322,,0.703126637,0.530965704,0.308256258,0.335644443,0.465460703,0.172518279,0.633167949,0.3858008,1.045265599
440,,,,,,,,23.31474331,22.64558168,25.00017639,23.75103289,25.15952814,23.46390913,24.29220882,25.150181,26.5950951,,0.722084183,0.601991138,0.323819781,0.326227247,0.40483191,0.131532549,0.461797874,0.309447714,0.536953727,,0.768192288,0.669516141,0.360808568,0.372338279,0.458587271,0.137046873,0.599189441,0.500864935,0.998288536
450,,,,,,,,23.12595078,22.69633036,25.0727755,23.57310105,25.40089403,23.35644186,24.67287479,24.52842937,26.57528534,,0.662977294,0.530626958,0.253943933,0.410878405,0.369842098,0.158723148,0.525455037,0.214470985,0.38487001,,0.725538443,0.675575605,0.278126915,0.428295197,0.447505539,0.160111889,0.656733563,0.420671556,0.833984053
460,,,,,,,,22.93364523,22.65660478,24.95411733,23.59643353,25.50833244,23.25528946,24.24982361,24.22231781,26.24343259,,0.58235047,0.504038968,0.311549759,0.343829616,0.329021476,0.147425414,0.464569182,0.223229658,0.390018343,,0.617186334,0.601333167,0.311751513,0.41012632,0.419880076,0.178559422,0.628187847,0.440392282,0.784988732
470,,,,,,,,22.98029594,22.64039493,24.79139159,23.5663043,25.49931612,23.49577628,24.68243222,24.4891172,26.65383935,,0.593288909,0.480655498,0.221403473,0.350357894,0.374022426,0.112050744,0.432111945,0.259189306,0.49337711,,0.734080625,0.556714283,0.223547913,0.387662699,0.434748665,0.133031201,0.536895752,0.47034822,1.03650977
480,,,,,,,,22.85650247,22.42002424,24.65151313,23.47138084,25.40206062,23.66712008,24.82948805,24.6295542,26.8844168,,0.62816192,0.461819362,0.190210602,0.351491949,0.285442305,0.137173996,0.456685113,0.258664057,0.534840071,,0.693730333,0.627601643,0.216946253,0.377245988,0.365003739,0.18721799,0.562957241,0.490090643,1.004731145
490,,,,,,,,22.73865464,22.39502672,24.71812973,23.45774571,25.41727669,23.76401572,25.06477464,25.03871134,26.92461505,,0.690524819,0.495880346,0.221752677,0.35900288,0.311595151,0.131616448,0.460663465,0.223697934,0.507275679,,0.732325341,0.593112268,0.25648848,0.38163414,0.366289379,0.144759452,0.559276548,0.399638289,0.980836716
500,,,,,,,,22.89363685,22.63178823,24.7131228,23.45082688,25.48206716,23.93032946,24.73450126,25.73618055,27.11204309,,0.683029122,0.482519641,0.25890908,0.370496875,0.324511724,0.188651166,0.413721505,0.238161922,0.474693928,,0.743941338,0.567689689,0.338352162,0.400825065,0.441249513,0.193680553,0.513004096,0.429919434,0.905973656
510,,,,,,,,22.95853025,22.6131823,24.79907245,23.47386435,25.64890356,23.74610434,24.97823566,25.06956888,26.86220994,,0.631621392,0.618091936,0.239395095,0.36778981,0.302460064,0.166533348,0.423525705,0.271783216,0.486237952,,0.67736351,0.661133476,0.281347909,0.379058337,0.392301126,0.198000059,0.526904304,0.456231997,1.004742334
520,,,,,,,,22.91869567,22.7578734,24.80983875,23.55755481,25.66104864,23.66629847,25.39990148,24.94537653,26.85948725,,0.673382211,0.574741337,0.234438077,0.343295518,0.318848279,0.114860917,0.377417089,0.243437547,0.481988051,,0.738892328,0.612215832,0.320921745,0.368339588,0.419258565,0.139711252,0.49270894,0.514688093,0.967491945
530,,,,,,,,22.86177971,22.69744377,24.85212147,23.48396153,25.57844062,23.53033552,24.91311674,24.90007324,26.81721899,,0.607812643,0.489971797,0.26160738,0.347449883,0.296276694,0.152513967,0.456433351,0.280232647,0.638197084,,0.660220455,0.566452057,0.323403474,0.351161715,0.373557645,0.184860775,0.574793344,0.450287666,0.973459683
540,,,,,,,,22.87339489,22.76141711,24.90899624,23.35437865,25.47425221,23.41264241,24.90529055,24.36881504,26.6228242,,0.560188231,0.5275376,0.244810483,0.260340542,0.261481335,0.19021976,0.342858301,0.265946811,0.567439753,,0.617494584,0.681452939,0.301943447,0.267362556,0.339245607,0.226590093,0.482274341,0.483464265,1.046924129
550,,,,,,,,22.89482091,23.06752112,24.91209363,23.34421361,25.50931158,23.60641045,25.30116145,24.60325615,27.30270677,,0.498425199,0.455542655,0.231403024,0.269837063,0.277556279,0.105968456,0.501769647,0.202994239,0.491552322,,0.576777973,0.611436353,0.308466346,0.269880839,0.377140187,0.143292377,0.578873835,0.412406911,0.875548651
560,,,,,,,,22.76460836,23.10477802,24.75711049,23.32294681,25.4978036,23.52018295,25.12799632,24.55561133,27.02101527,,0.506361826,0.52670866,0.215594294,0.298282347,0.276717452,0.10522248,0.44352596,0.218571581,0.476559627,,0.615909904,0.58534698,0.272795278,0.299724735,0.378856646,0.123347613,0.541289529,0.407744562,0.80435433
570,,,,,,,,22.81973126,23.18571952,24.67649357,23.25786656,25.69856371,23.62830147,25.2168476,24.80786155,26.53317123,,0.561422218,0.522419017,0.215622113,0.262896273,0.25901061,0.131390349,0.507991294,0.272043856,0.477950922,,0.622625451,0.583074873,0.283303489,0.274955082,0.359779602,0.134080156,0.629593451,0.423382639,0.960364944
580,,,,,,,,22.66856415,23.3000584,24.4803837,23.23744393,25.59013263,23.49755443,25.30438735,24.87941826,26.67771804,,0.53496738,0.489968264,0.221845542,0.337398077,0.298730463,0.115818007,0.475852547,0.19262344,0.409762561,,0.677560365,0.548127471,0.303901864,0.362680763,0.393273443,0.135735192,0.567357173,0.375967744,0.784462657
590,,,,,,,,22.62314373,23.26858664,24.4115602,23.18366389,25.56432008,23.5643571,25.2993673,24.63945899,26.58070513,,0.397247291,0.365534193,0.19644032,0.306528391,0.290139582,0.102228643,0.418426424,0.234372585,0.391768255,,0.547818265,0.465440186,0.264231936,0.328119714,0.386156324,0.106270396,0.502845357,0.382329994,0.845204828
600,,,,,,,,22.61257875,23.18809504,24.38008062,23.16705122,25.54458505,23.609723,25.41808419,24.92214447,26.95416326,,0.538718387,0.408734139,0.265313423,0.31657351,0.258455106,0.127603059,0.469189739,0.220001926,0.417122219,,0.692451736,0.506779492,0.281789155,0.322956899,0.348608956,0.157301663,0.549589538,0.428665253,0.7516102
610,,,,,,,,22.4539605,23.23899849,24.53013445,23.29450042,25.46671355,23.79071309,25.58053155,24.69190683,26.92092333,,0.517330841,0.464955013,0.273479386,0.311936828,0.254696867,0.100033375,0.409387083,0.229163867,0.441832182,,0.689386957,0.573224916,0.285480392,0.331531925,0.354314266,0.12387024,0.53019245,0.432056448,0.76065495
620,,,,,,,,22.53702093,23.17922812,24.45718238,23.30274534,25.4002667,23.79832351,25.60531529,25.01384525,26.60756557,,0.419479832,0.416752318,0.236043469,0.294281176,0.246416121,0.12897392,0.419548977,0.223905284,0.409926196,,0.552252395,0.515879092,0.260904275,0.322342181,0.337147247,0.140826965,0.556852776,0.396277549,0.773998001
630,,,,,,,,22.45482772,23.2018265,24.39255512,23.2452456,25.24710867,23.76566663,25.4474737,24.60267311,26.571554,,0.4956956,0.350827892,0.2642495,0.34135819,0.265071177,0.128175612,0.522305664,0.299143618,0.327659311,,0.647003375,0.457706603,0.304256872,0.371597671,0.344160223,0.147121857,0.608956489,0.463471281,0.693718668
640,,,,,,,,22.49440204,23.26137455,24.24095775,23.23488437,25.30544527,23.74088986,25.32419075,24.66658595,26.65333435,,0.407890756,0.338690834,0.185625376,0.24032062,0.257488013,0.109519005,0.468658614,0.28156492,0.249221064,,0.571347243,0.468078767,0.254184147,0.276840763,0.350598062,0.141956811,0.573441307,0.502999681,0.575864735
650,,,,,,,,22.36856714,23.34907202,24.28478459,23.22191987,25.44811665,23.80249174,25.40838379,24.69333651,26.76491679,,0.540871652,0.332122994,0.278243541,0.268930395,0.247794527,0.132157367,0.451150459,0.208420393,0.340598288,,0.680010288,0.461045444,0.326529084,0.28938123,0.348363601,0.158318222,0.575493401,0.388886997,0.603970574
660,,,,,,,,22.49297728,23.17898043,24.1042384,23.19216306,25.58086665,23.86914323,25.36487224,24.56768512,26.75830329,,0.417822256,0.426053574,0.236827113,0.260013257,0.245420499,0.096823586,0.522746346,0.192706372,0.417762818,,0.553704208,0.528695399,0.276820483,0.278057523,0.334081059,0.11410909,0.586030593,0.35367276,0.738469792
670,,,,,,,,22.50869556,23.26959376,24.16426387,23.32625743,25.55724463,23.7589992,25.37721699,25.38529906,26.76951188,,0.507692302,0.353185661,0.249094262,0.219414984,0.263081821,0.097490514,0.504624179,0.217067753,0.377462209,,0.717587043,0.459459028,0.30514024,0.234407707,0.356294812,0.122471699,0.604363782,0.404263332,0.665526068
680,,,,,,,,22.54680982,23.24227378,24.14508596,23.26992115,25.65355874,23.86408329,25.49506391,24.60971281,26.70964533,,0.640280828,0.354779836,0.317279709,0.28968175,0.258404153,0.105333874,0.544191836,0.188145932,0.359158314,,0.678895981,0.496228975,0.345486657,0.309022059,0.3526959,0.121336414,0.588920988,0.305459158,0.546531567
690,,,,,,,,22.55539426,23.13624627,24.2217161,23.26928424,25.68530073,23.83849416,25.51360203,24.96307159,26.80177587,,0.621020053,0.363881238,0.302191695,0.261900084,0.281132097,0.105656115,0.503286221,0.216563074,0.349501699,,0.675774417,0.502272758,0.322223877,0.271385577,0.367312893,0.120325619,0.600721709,0.380165267,0.608146059
700,,,,,,,,22.72817523,23.21096339,24.06561505,23.21628547,25.78530608,23.80600397,25.38924558,24.95138203,26.89702185,,0.529010388,0.373826854,0.274872196,0.263074864,0.255481417,0.154489701,0.486309341,0.186471888,0.421028788,,0.674185696,0.519307724,0.341843928,0.284555134,0.33725934,0.176428487,0.582631399,0.373588305,0.69672337
710,,,,,,,,22.57954765,23.28013009,24.00474714,23.19331703,25.73284813,23.95670123,25.44677432,25.5117348,26.85300617,,0.531728303,0.357359591,0.244174013,0.26328428,0.273920758,0.146076729,0.466911818,0.182690573,0.373998386,,0.594782634,0.50013817,0.335582105,0.314898326,0.336229321,0.185557531,0.541111843,0.321390984,0.522986983
720,,,,,,,,22.68062664,23.38872552,24.02469395,23.15328112,25.76670906,24.0205558,25.62760715,25.37590529,26.62141877,,0.428028764,0.357379786,0.277531242,0.225750603,0.265395368,0.138849642,0.473983269,0.165962973,0.298861142,,0.550754834,0.499639202,0.372178018,0.280321774,0.333725638,0.142163864,0.570096267,0.35660602,0.617224277
730,,,,,,,,22.68432057,23.44051964,24.05758407,23.17810529,25.65434366,23.95939159,25.40559776,25.0382002,26.78502981,,0.433735331,0.331168349,0.264800103,0.353448751,0.282158796,0.159125364,0.43949038,0.180361281,0.419557151,,0.551040717,0.453648393,0.325225406,0.390327842,0.345890306,0.160533159,0.57798375,0.279334038,0.640462448
740,,,,,,,,22.51430815,23.35203281,24.03691821,23.0939789,25.71097883,23.77727441,25.36596759,24.70231618,26.90125104,,0.546361861,0.376429653,0.227776102,0.322547048,0.272439714,0.128297196,0.4382847,0.167554152,0.37044524,,0.601240569,0.449741857,0.319949512,0.361178177,0.35139385,0.14079765,0.561916415,0.353198356,0.718018655
750,,,,,,,,22.52669961,23.33217469,23.98969883,23.16746678,25.61812605,23.82745357,25.36295605,25.22429356,26.57473634,,0.495764441,0.366455714,0.242875552,0.388407195,0.238051425,0.121169897,0.457866122,0.223050376,0.32572675,,0.538956937,0.485794343,0.315990586,0.405387133,0.317410313,0.142844887,0.550931456,0.347879817,0.615395542
760,,,,,,,,22.40561974,23.30165121,23.95063991,23.20991996,25.52925343,24.00071651,25.38897545,25.05083331,26.39324453,,0.43943207,0.348731492,0.253285566,0.353037108,0.27398185,0.128288803,0.48136888,0.185806597,0.233994822,,0.576736955,0.467226565,0.330366294,0.370504851,0.34389689,0.176871097,0.536138814,0.271279859,0.552655832
770,,,,,,,,22.38847671,23.25325934,23.8791795,23.20826009,25.60742944,23.84667767,25.26287114,25.22843768,26.45461067,,0.423766402,0.3405123,0.283932982,0.323347022,0.236777428,0.150368942,0.518947667,0.214816776,0.401124909,,0.585442615,0.467838772,0.370049569,0.356577137,0.306234486,0.209776663,0.577561475,0.375162151,0.730679867
780,,,,,,,,22.50559474,23.27802521,23.90375713,23.22156182,25.50781482,23.81719287,25.32430191,25.45227463,26.44437535,,0.434514395,0.357162519,0.259987103,0.366286311,0.237068475,0.114994787,0.55755284,0.175877256,0.348595245,,0.590833355,0.486483218,0.354689018,0.386977664,0.301455839,0.15352142,0.610112212,0.272079088,0.573883143
790,,,,,,,,22.4927728,23.31337515,23.89381647,23.35139,25.50271946,23.81465825,25.15199273,25.41168448,26.78326709,,0.451341474,0.380091525,0.239865581,0.306455879,0.255658612,0.145546866,0.513449929,0.134915972,0.398855756,,0.605165491,0.455596817,0.328805375,0.32521649,0.330356143,0.184113456,0.592573957,0.23300667,0.734159809
